TEM_kg,MERPercentile_5,MERPercentile_10,MERPercentile_15,MERPercentile_20,MERPercentile_25,MERPercentile_30,MERPercentile_35,MERPercentile_40,MERPercentile_45,MERPercentile_50,MERPercentile_55,MERPercentile_60,MERPercentile_65,MERPercentile_70,MERPercentile_75,MERPercentile_80,MERPercentile_85,MERPercentile_90,MERPercentile_95,90%_interpercentile_MERrange_kg/s,Duration_hr_P5,Duration_hr_P10,Duration_hr_P15,Duration_hr_P20,Duration_hr_P25,Duration_hr_P30,Duration_hr_P35,Duration_hr_P40,Duration_hr_P45,Duration_hr_P50,Duration_hr_P55,Duration_hr_P60,Duration_hr_P65,Duration_hr_P70,Duration_hr_P75,Duration_hr_P80,Duration_hr_P85,Duration_hr_P90,Duration_hr_P95,Duration_hr_90%_interpercentile
762199508765.7472,469295.7413379896,4906749.123441473,8123361.704303599,9207845.162402568,9593571.577963632,9799322.016817419,10038814.298458388,10756073.459873842,11149925.23615885,11425237.676048422,11733822.36221382,12034634.254756177,12561097.007496163,13379001.273430416,14032340.683532942,15272823.7572165,15582149.452198658,49928612.351406045,263734738.33931884,263265442.59798086,451.1485341090696,43.14915648668144,26.063358185330692,22.993662690242203,22.069162047488895,21.605789196937245,21.090347871140143,19.68395684150956,18.988655195790475,18.53108808511808,18.043743908214196,17.59273121944599,16.855381790452892,15.824954452222496,15.088151759080407,13.86266803924999,13.587476260432664,4.240496096268952,0.8027842183454168,0.8042152577221199
7624804810276.514,1465399.0531856848,18664354.12227489,32660977.243683867,38518649.23528863,40406681.38268012,42742649.74032708,44920760.30446768,46625137.84860873,48684303.38837606,49676554.3928912,52390229.59936228,53386037.24230558,55645176.0619705,61344794.7741826,69320823.4045397,72391624.08217181,79407129.65193745,229973043.2209964,1416005871.0960913,1414540472.0429056,1445.3410022229234,113.47841571759514,64.8480699271639,54.98638654876626,52.41710686727613,49.55241074325854,47.14972146135449,45.42616781241581,43.504809328207784,42.63583418923697,40.42741084329399,39.67331994646566,38.06262260414381,34.52617852883088,30.553609033576713,29.25754689221746,26.672684751000105,9.209780879198924,1.495757453709167,1.4973069898304596
76208092216632.55,4573810.135688255,70977144.55704461,131247067.81178272,158367190.0398187,165308485.97479376,183351647.74922174,196941548.0790143,208579299.57562622,211200149.12709385,219210607.00636077,226272529.26313174,237863229.06377485,249104401.68979916,280440522.445804,330852423.9739976,349450714.9118371,392761920.8608859,1058931582.7961518,7603738971.918003,7599165161.782315,4628.288861281014,298.24973428744534,161.29057096329058,133.66982453434701,128.05703457866034,115.45527277493477,107.48831168995908,101.49096553536356,100.23153199518501,96.56884214551671,93.55494709657341,88.99616215562446,84.9800901189255,75.48450673247875,63.98295122142996,60.577682635334874,53.89757351787182,19.990823626888883,2.7840138361930653,2.785689487456169
761850516898466.5,14277511.83939109,270010997.27210104,527484298.2855488,651207850.4770896,677681136.5073421,799742066.7206693,875236158.0955387,922847065.8365571,955735488.1184363,969205870.3734453,997231672.6621917,1055748582.8099525,1161133211.8045363,1282234365.174738,1522413322.1428044,1704915864.751118,1951318174.8973272,4878055980.438427,40872184089.89184,40857906578.052444,14822.270572316527,783.7649048406872,401.1970484633194,324.97326840864395,312.27834475899505,264.61674631006116,241.79204849510668,229.31767507010494,221.42647857466858,218.34901134200308,212.21261757356413,200.45032219664597,182.25742010601627,165.04404290713885,139.0063660800366,124.12644398367435,108.45240223011938,43.383090401493725,5.17773024112124,5.179539563012893
