VEI,Bulk_Volume_km3,emperical_Bulk_Volume_m3,Probabilistic_Bulk_Volume_m3,emp_Volume_5th,Uncertainty_emp_Volume_5th,Prob_Volume_5th,Uncertainty_Prob_Volume_5th,emp_Volume_25th,Uncertainty_emp_Volume_25th,Prob_Volume_25th,Uncertainty_Prob_Volume_25th,emp_Volume_50th,Uncertainty_emp_Volume_50th,Prob_Volume_50th,Uncertainty_Prob_Volume_50th,emp_Volume_75th,Uncertainty_emp_Volume_75th,Prob_Volume_75th,Uncertainty_Prob_Volume_75th,emp_Volume_95th,Uncertainty_emp_Volume_95th,Prob_Volume_95th,Uncertainty_Prob_Volume_95th
0,0.0005,500000.0,5502273.833632747,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
1,0.005,5000000.0,54970112.41196794,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
2,0.1,100000000.0,549841234.0863255,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
3,3.0,3000000000.0,5500807348.27265,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
4,30.0,30000000000.0,54968972709.86912,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
5,100.0,100000000000.0,550046306524.3634,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
6,500.0,500000000000.0,5499183923573.363,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
7,1000.0,1000000000000.0,54965518098861.086,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
8,2500.0,2500000000000.0,550006293422848.1,2300000.0,230000.0,25289409.264966823,2528940.9264966827,100000000.0,10000000.0,549841234.0863255,54984123.408632554,30000000000.0,3000000000.0,54968972709.86912,5496897270.986912,500000000000.0,50000000000.0,5499183923573.363,549918392357.3363,1899999999999.9995,189999999999.99997,351989983293253.1,35198998329325.31
