Height_km.a.v.l,MERPercentile_5,Uncertainty_Lower_5,Uncertainty_Upper_5,MERPercentile_25,Uncertainty_Lower_25,Uncertainty_Upper_25,MERPercentile_50,Uncertainty_Lower_50,Uncertainty_Upper_50,MERPercentile_75,Uncertainty_Lower_75,Uncertainty_Upper_75,MERPercentile_95,Uncertainty_Lower_95,Uncertainty_Upper_95,Best_MER_Estimate_km,Best_MER_Estimate_km_Uncertainty
5,78892.28687058426,72753.55547571697,80015.85755512584,82011.60458741098,81451.34925313662,82538.73575156691,84271.98316840456,83842.31708061647,84736.82832499374,86656.57391083664,86098.89819079632,87243.45400020119,90054.25671703582,88672.01567787297,99136.1232165333,11161.969846451568,19120.265661407466
8,608619.5165161184,575831.6053505768,614226.7099844116,623748.1372825127,621135.8545142778,626352.2557292129,634947.9136286258,632969.0210439774,637016.4198021626,646340.1114566252,643765.2083874311,649292.4146419992,662707.458574829,656473.6560011914,704862.135429196,54087.942058710614,90635.42544478434
