VEI,Mean_Mass_emp_kg,Std_Mass_emp_kg,Mean_Mass_Prob_kg,Std_Mass_Prob_kg,Mass_5th,Mass_25th,Mass_50th,Mass_75th,Mass_95th,90%_interpercentile_Mass_Estimate
0,499981745.030842,57740646.68125204,5973064658.118708,1003170042.8723477,4323678049.995308,5296240129.091022,5973195514.690987,6649863606.578503,7623536320.3605,3299858270.3651924
1,4999878203.391835,577330388.2347374,59669143499.26005,10023628076.53851,43187577875.1077,52907073546.93925,59667445100.138245,66434735494.00854,76150982091.26889,32963404216.161194
2,99996761497.41962,11547459027.227983,596962086497.7174,100256017202.78812,432069284654.5345,529317095146.54846,596954717724.1177,664634416945.9525,761876254358.2527,329806969703.7182
3,2999845332391.9893,346402175700.4271,5971080666978.635,1002974259078.7755,4321325721373.996,5294734355608.843,5970549562953.172,6647372321003.098,7621212774871.856,3299887053497.8604
4,30000319968712.25,3464840957416.377,59667680460476.94,10020992342077.78,43184160180938.914,52908954006091.05,59665907560161.18,66427003777058.055,76154132124995.97,32969971944057.055
5,100003366177292.75,11546334679043.605,597059007194741.8,100348161228760.83,431960812082457.2,529374378688255.6,597089777532783.6,664756707453107.2,762108512154862.5,330147700072405.3
6,500003982141219.06,57735222952701.664,5969939763365941.0,1002780024820696.2,4320822969087105.5,5293540322237166.0,5969778830688472.0,6646075335359197.0,7619693464669998.0,3298870495582892.5
7,999990902475097.9,115489683981556.52,5.966641762442911e+16,1.0020836526295944e+16,4.317605508317737e+16,5.291018425238046e+16,5.966578156452525e+16,6.642399240048344e+16,7.614433568928888e+16,3.296828060611151e+16
8,2500045371205307.0,288583851984721.4,5.970196681543391e+17,1.0025212336406534e+17,4.320383956573762e+17,5.2938823032480806e+17,5.970275787072333e+17,6.646588709875645e+17,7.618750928530632e+17,3.29836697195687e+17
