DTG,VAAC,VOLCANO,VOLCANO CODE,PSN,AREA,SUMMIT ELEV,ADVISORY NR,INFO SOURCE,AVIATION COLOUR CODE,ERUPTION DETAILS,OBS VA DTG,OBS VA CLD,FCST VA CLD +6 HR,FCST VA CLD +12 HR,FCST VA CLD +18 HR,RMK,NXT ADVISORY,Latitude,Longitude,ADVISORY_YEAR,REPORT_NUMBER,DTG_DATETIME
20200810/1635Z,DARWIN,SINABUNG,261080,N0310 E09824,INDONESIA,2460M,2020/12,"HIMAWARI-8, CVGHM, PIREP, WEBCAM",RED,VA TO FL320 MOV WNW AND TO FL140 MOV ENE,10/1635Z,SFC/FL140 N0309 E09920 - N0348 E10012 - N0433,10/2235Z NO VA EXP,11/0435Z NO VA EXP,11/1035Z NO VA EXP,"VA TO FL320 LAST PARTIALLY OBS ON SAT IMAGERY AT 0730Z,",NO LATER THAN 20200810/2235Z=,3.1666666666666665,98.4,2020,12,2020-08-10 16:35:00
20200810/1030Z,DARWIN,SINABUNG,261080,N0310 E09824,INDONESIA,2460M,2020/10,"HIMAWARI-8, CVGHM, PIREP, WEBCAM",RED,VA TO FL320 MOV WNW AND TO FL140 MOV ENE,10/1030Z,SFC/FL140 N0318 E09838 - N0348 E09911 - N0418,10/1630Z SFC/FL140 N0303 E09852 - N0337,10/2230Z SFC/FL140 N0253 E10049 - N0348,11/0430Z NO VA EXP,ERUPTION HAS CEASED. VA TO FL320 LAST PARTIALLY OBS ON,NO LATER THAN 20200810/1630Z=,3.1666666666666665,98.4,2020,10,2020-08-10 10:30:00
